compound_id	smiles	library	compound_code	compound_name	coadd_project_id	coadd_cc50_ma_007_ug_ml	coadd_mic_gn_034_ug_ml	coadd_mic_gn_042_ug_ml	coadd_mic_gp_020_ug_ml	coadd_mic_gn_001_ug_ml	coadd_mic_gn_003_ug_ml	coadd_mic_fg_001_ug_ml	coadd_mic_fg_002_ug_ml	coadd_hc10_ha_150_ug_ml	coadd_mic_gn_034_um	coadd_mic_gn_042_um	coadd_mic_gn_003_um	coadd_mic_fg_002_um	coadd_mic_gn_001_um	coadd_mic_fg_001_um	coadd_mic_gp_020_um	coadd_cc50_ma_007_um	coadd_hc10_ha_150_um	coadd_mic_gn_211_um	coadd_mic_gn_211_ug_ml	coadd_mic_gp_019_ug_ml	coadd_mic_gp_023_ug_ml	coadd_mic_gp_064_ug_ml	coadd_mic_fg_005_ug_ml	coadd_mic_fg_006_ug_ml	coadd_mic_fg_011_ug_ml	coadd_mic_fg_007_ug_ml	coadd_mic_gp_030_ug_ml	coadd_mic_gp_020_s50_ug_ml	coadd_mic_gp_025_ug_ml	coadd_mic_gn_049_ug_ml	coadd_mic_fg_001_s50_ug_ml	coadd_mic_fg_002_s20_ug_ml	coadd_mic_gn_032_ug_ml	coadd_mic_gn_046_ug_ml	coadd_mic_gn_034_s50_ug_ml	coadd_mic_gn_004_ug_ml	coadd_mic_gn_043_ug_ml	coadd_mic_gn_045_ug_ml	coadd_mic_gn_093_ug_ml	coadd_mic_gn_111_ug_ml	coadd_mic_gn_034_s20_ug_ml	coadd_mic_fg_018_ug_ml	coadd_mic_gp_011_ug_ml	coadd_mic_gp_035_ug_ml	coadd_mic_gn_001_s50_ug_ml
CO-ADD:0136135	[H]N1C(N([H])C(OC)C(C(OC)=O)(F)C1=O)=O	NIH/NCI (USA) - Diversity Set V	0367428:01		CO-ADD:PL0011										10	10	10	10	10	10	5	10																													
CO-ADD:0136139	c1cc(C)c(N2C=NC(NC)=NC2=O)c(C)c1	NIH/NCI (USA) - Diversity Set V	0372221:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136148	c1c(c(cc(Cl)c1)sc2S[H])n2	NIH/NCI (USA) - Diversity Set V	0503425:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136174	O=C(C(C(=O)c(cccc1)c1)C(O2)=O)C=C2c(cccc3)c3	NIH/NCI (USA) - Diversity Set V	0006844:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0137206	n1ccc2c(c1)c(C)c(c3c(cccc3)n4[H])c4c2C	NIH/NCI (USA) - Natural Product Set III	0071795:02		CO-ADD:PL0012										10	10	10	10	10	10	10	3.65																													
CO-ADD:0137218	O=C(C=C(C(C)=C([C@](CC)(C)[H])O1)C2=C1)C(C(O)=O)=C2O	NIH/NCI (USA) - Natural Product Set III	0114344:01		CO-ADD:PL0012										10	10	10	10	10	10	10	10																													
CO-ADD:0137222	O=C(C(C[C@@H](C)C[C@@H](OC)[C@@H](O)[C@H](C)C=C(/C)[C@@H](OC(N)=O)[C@H](OC)C=C/C=C(C)/C(=O)N1[H])=C(OC)C2=O)C1=C2	NIH/NCI (USA) - Natural Product Set III	0122750:01		CO-ADD:PL0012										10	10	10	10	10	10	10	10																													
CO-ADD:0137226	O1C=CC(OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)C(O)[C@@H](C)C=CC=C(C)/C(Nc(cc(O)c(c(C(=O)[C@@]12C)c(c3C)O2)c4c3O)c4O)=O.[Na+]	NIH/NCI (USA) - Natural Product Set III	0133100:01		CO-ADD:PL0012										10	10	10	10	10	10		10																													
CO-ADD:0137228	O1C(C)C(C)C(O)C(C)C=CC=CCCC=CC=CC=CC=CC(CC(C(C(=O)O)C2O)OC(CC(O)C(O)CCC(O)CC(O)CC(O)CC1=O)C2)OC3C(O)C(N)C(O)C(C)O3	NIH/NCI (USA) - Natural Product Set III	0150817:01		CO-ADD:PL0012										10	10	10	5	10	5	10	10																													
CO-ADD:0137233	O1C(C(CC)C(=O)C(C)C(O)C(C)CCc(c(C(O)=O)c(O)c(C)c2)c2)C(C)CC1(CC)C3CCC(CC)(O)C(C)O3	NIH/NCI (USA) - Natural Product Set III	0177406:01		CO-ADD:PL0012										10	10	10	10	10	10	0.3125	10																													
