compound_id	smiles	series	canonical_postera_id	fragalysis_id	acrylamide	chloroacetamide	mpro_fluorescence_pIC50	mpro_fluorescence_IC50_uM	mpro_rapidfire_pIC50	mpro_rapidfire_IC50_uM	trypsin_IC50_uM	trypsin_mpro_selectivity_ratio
LUO-POS-e1dab717-11	CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O	3-aminopyridine-like	LUO-POS-e1dab717-11		False	False	6.56048	0.275118				
LUO-POS-e1dab717-12	O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1	3-aminopyridine-like	LUO-POS-e1dab717-12		False	False	6.693	0.202767				
MAT-POS-e48723dc-1	CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1	Ugi	MAT-POS-e48723dc-1		False	False	4.25607	55.4539				
MAT-POS-e48723dc-2	CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1	Ugi	MAT-POS-e48723dc-2		False	False	7.30103	0.05				
LUO-POS-9931618f-2	CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O	Ugi	LUO-POS-9931618f-2		False	False	7.27772	0.0527566				
EDJ-MED-b6c6ee2b-2	CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1	3-aminopyridine-like	EDJ-MED-b6c6ee2b-2		False	False	6.81451	0.15328				
EDJ-MED-b6c6ee2b-3	COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1	3-aminopyridine-like	EDJ-MED-b6c6ee2b-3		False	False	6.66779	0.214885				
EDJ-MED-5cd3920d-5	O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12	3-aminopyridine-like	EDJ-MED-5cd3920d-5		False	False	6.80869	0.155351				
EDJ-MED-5cd3920d-6	O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12	Unassigned	EDJ-MED-5cd3920d-6		False	False	6.80504	0.156659				
MAT-POS-50a80394-1	CC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12	3-aminopyridine-like	MAT-POS-50a80394-1		False	False	6.97248	0.106543				
MAT-POS-50a80394-2	CCC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12	3-aminopyridine-like	MAT-POS-50a80394-2		False	False	7.12838	0.0744085				
MAT-POS-be048f2c-5	CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1	3-aminopyridine-like	MAT-POS-be048f2c-5		False	False	6.52723	0.297012				
MAT-POS-be048f2c-6	CC(C)n1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1	3-aminopyridine-like	MAT-POS-be048f2c-6		False	False	6.57245	0.26764				
MAT-POS-be048f2c-7	O=C(c1ccnn1C1CC1)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1	3-aminopyridine-like	MAT-POS-be048f2c-7		False	False	6.78814	0.162876				
EDJ-MED-cc48ee33-4	Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1	3-aminopyridine-like	EDJ-MED-cc48ee33-4		False	False	6.16559	0.682988				
EDJ-MED-cc48ee33-5	Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)n(C)n1	3-aminopyridine-like	EDJ-MED-cc48ee33-5		False	False	6.3335	0.463982				
EDJ-MED-fb79a796-3	N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3nncn3C3CC3)C2)CC1	3-aminopyridine-like	EDJ-MED-fb79a796-3		False	False	4.25694	55.3432				
MAT-POS-38eb6498-3	CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)C1	3-aminopyridine-like	MAT-POS-38eb6498-3		False	False	6.67865	0.209581				
MIK-UNK-58cd43d0-1	O=C(Nc1cncc2c1CCCC2)[C@H]1CNS(=O)(=O)c2ccc(Cl)cc21	3-aminopyridine-like	MIK-UNK-58cd43d0-1		False	False	6.14064	0.723365				
MIK-UNK-122557fa-1	CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4c3CCCC4)C2=O)C1	3-aminopyridine-like	MIK-UNK-122557fa-1		False	False	4.00218	99.5				
MIK-UNK-1619f2e2-1	CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1	3-aminopyridine-like	MIK-UNK-1619f2e2-1		False	False	6.62812	0.23544				
