compound_id	smiles	series	batch_id	source_id	synonyms	spark_achaogen_lpxc_pic50	spark_achaogen_lpxc_ic50_um	spark_achaogen_primary_mic_pseudomonas_aeruginosa_pmic	spark_achaogen_primary_mic_pseudomonas_aeruginosa_mic_um	spark_achaogen_primary_mic_escherichia_coli_pmic	spark_achaogen_primary_mic_escherichia_coli_mic_um	spark_achaogen_primary_mic_klebsiella_pneumoniae_pmic	spark_achaogen_primary_mic_klebsiella_pneumoniae_mic_um	spark_achaogen_primary_mic_staphylococcus_aureus_pmic	spark_achaogen_primary_mic_staphylococcus_aureus_mic_um	spark_achaogen_primary_mic_acinetobacter_baumannii_pmic	spark_achaogen_primary_mic_acinetobacter_baumannii_mic_um	spark_achaogen_primary_mic_yersinia_enterocolitica_pmic	spark_achaogen_primary_mic_yersinia_enterocolitica_mic_um	spark_achaogen_primary_mic_burkholderia_thailandensis_pmic	spark_achaogen_primary_mic_burkholderia_thailandensis_mic_um	spark_achaogen_lpxc_mic_acinetobacter_baumannii_pmic	spark_achaogen_lpxc_mic_acinetobacter_baumannii_mic_um	spark_achaogen_lpxc_mic_escherichia_coli_pmic	spark_achaogen_lpxc_mic_escherichia_coli_mic_um	spark_achaogen_lpxc_mic_burkholderia_cepacia_pmic	spark_achaogen_lpxc_mic_burkholderia_cepacia_mic_um	spark_achaogen_lpxc_mic_pseudomonas_aeruginosa_pmic	spark_achaogen_lpxc_mic_pseudomonas_aeruginosa_mic_um	spark_achaogen_lpxc_mic_klebsiella_pneumoniae_pmic	spark_achaogen_lpxc_mic_klebsiella_pneumoniae_mic_um	spark_achaogen_lpxc_mic_klebsiella_oxytoca_pmic	spark_achaogen_lpxc_mic_klebsiella_oxytoca_mic_um	spark_achaogen_lpxc_mic_achromobacter_spp_pmic	spark_achaogen_lpxc_mic_achromobacter_spp_mic_um	spark_achaogen_lpxc_mic_achromobacter_xylosoxidans_pmic	spark_achaogen_lpxc_mic_achromobacter_xylosoxidans_mic_um	spark_achaogen_lpxc_mic_ralstonia_mannitolytica_pmic	spark_achaogen_lpxc_mic_ralstonia_mannitolytica_mic_um	spark_achaogen_lpxc_mic_stenotrophomonas_spp_pmic	spark_achaogen_lpxc_mic_stenotrophomonas_spp_mic_um	spark_achaogen_lpxc_mic_stenotrophomonas_maltophilia_pmic	spark_achaogen_lpxc_mic_stenotrophomonas_maltophilia_mic_um	spark_achaogen_protein_binding_human_fraction_free_pct	spark_achaogen_protein_binding_rat_fraction_free_pct	spark_achaogen_protein_binding_mouse_fraction_free_pct	spark_achaogen_protein_binding_dog_fraction_free_pct	spark_achaogen_protein_binding_nhp_fraction_free_pct	spark_achaogen_cytotox_ic50_um	spark_achaogen_cytotox_r_squared	spark_achaogen_mic_population_mic50_ug_ml	spark_achaogen_mic_population_mic90_ug_ml	spark_achaogen_mic_population_min_mic_ug_ml	spark_achaogen_mic_population_max_mic_ug_ml	spark_achaogen_pae_clinical_isolate_mic5_ug_ml	spark_achaogen_pk_rat_iv_auc_0_inf_hr_ug_ml	spark_achaogen_pk_rat_iv_auc_0_t_hr_ug_ml	spark_achaogen_pk_rat_iv_cmax_ug_ml	spark_achaogen_pk_rat_iv_c0_ug_ml	spark_achaogen_pk_rat_iv_cl_l_hr_kg	spark_achaogen_pk_rat_iv_vss_l_kg	spark_achaogen_pk_rat_iv_free_auc_0_t_hr_ug_ml	spark_achaogen_pk_rat_iv_free_cmax_ug_ml	spark_achaogen_pk_rat_iv_free_cl_l_hr_kg
SPK-0125763	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1C[C@@H]1CO)C(N)=O	LpxC inhibitors	SPK-0125763-001																																																					6.1	6.1	31	62	1.6	0.84	1.2	5.8	8.6
SPK-0125762	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#C)C(N)=O	LpxC inhibitors	SPK-0125762-001																																																					47	38	13	15	0.21	1	16	5.7	0.62
SPK-0125761	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CN(CCO)C1)C(N)=O	LpxC inhibitors	SPK-0125761-001																																																					2.2	2.2	8	13	4.6	2.3	1.1	4.1	8.7
SPK-0125717	COC1(CS(=O)(=O)C1)C(NC(=O)C1=CC=C(C=C1)C#C\\C=C/CCO)C(=O)NO	LpxC inhibitors	SPK-0125717-001	1	C000050563	8.57	0.0027	4.7	18.9	4.7	18.9	4.1	75.7																																										12.1									
SPK-0125716	COC1(CS(=O)(=O)C1)C(NC(=O)C1CCC(=CC1)C1=CC=CC=C1)C(=O)NO	LpxC inhibitors	SPK-0125716-001	1	C000050548	7.8	0.016	4.1	78.3	4	111	3.8	157																																										39.4									
SPK-0125715	COC1(CS(=O)(=O)C1)[C@@H](NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125715-001	1	C000050515	8.09	0.0081	4.5	35	4.9	12.4	4.2	70																																										18.4									
SPK-0125714	ONC(=O)[C@@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C1(CNC1)C#C	LpxC inhibitors	SPK-0125714-001	1	C000050511	7.26	0.055	5.7	1.95	3.9	125	3.9	125																															42	42.4										1.15									
SPK-0125713	ONC(=O)[C@@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C1(CNC1)C=C	LpxC inhibitors	SPK-0125713-001	1	C000050506	7.39	0.041	5.9	1.37	3.9	124	3.9	124																															48.6	41.8										1.07	5	4.9	23	40	2	2.2	2	9.8	4.9
SPK-0125712	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)NS(=O)(=O)C1COC1	LpxC inhibitors	SPK-0125712-001	1	C000050500	8.85	0.0014	5.3	4.88	4.7	19.5	3.8	156																															34.9	34										4									
SPK-0125711	COC1(CNC1)C(NC(=O)C1=CC=C(C=C1)C(F)(F)F)C(=O)NO	LpxC inhibitors	SPK-0125711-001	1	C000050480			5.1	8.67	3.9	139	4.2	69.4																															64.2	66.9										6.96									
SPK-0125710	CCCC(=O)N[C@H](C(=O)NO)C(C)(C)N	LpxC inhibitors	SPK-0125710-001	1	C000050474			3.1	773	3.1	773	3.1	773																																										256									
SPK-0125709	CCOC1(CNC1)C(NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C(=O)NO	LpxC inhibitors	SPK-0125709-001	1	C000050470	6.89	0.13	5.1	8.78	3.9	140	3.9	140																															47.8	46.8										6.06									
SPK-0125708	CC1(CNC1)[C@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)C(=O)NO	LpxC inhibitors	SPK-0125708-001	1	C000050437	6.74	0.18	5.4	3.975	3.85	138.5	3.85	138.5																															56.1	51.4										2.415									
SPK-0125707	CC(C)(N)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CC2(CNC2)C1)C(=O)NO	LpxC inhibitors	SPK-0125707-001	1	C000050435	8.54	0.0029	4.4	44.5	4.4	44.5	4.2	62.9																																										42.2									
SPK-0125706	CC(C)(O)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#CC1CC2(C1)CN(C2)C=O)C(=O)NO	LpxC inhibitors	SPK-0125706-001	1	C000050424	9	0.001	5.3	4.72	6.1	0.835	5.6	2.36																															21.6	13.4										3.48									
SPK-0125705	[H]C(=O)N1CC(C1)(OC)C(NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125705-001	1	C000050412	8.15	0.007	4.1	80.1	3.9	113	3.8	160																																										48.5									
SPK-0125704	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)[C@](C)(O)C1CN(C)C1	LpxC inhibitors	SPK-0125704-001	1	C000050368			3.9	139	3.3	557	3.3	557																																										97									
SPK-0125703	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)[C@](C)(O)C1CNC1	LpxC inhibitors	SPK-0125703-001	1	C000050361			3.7	203	3.2	575	3.2	575																																										181									
SPK-0125702	ONC(=O)[C@@H](NC(=O)C1=CC=C(C=C1)S(F)(F)(F)(F)F)[C@H]1COCCN1	LpxC inhibitors	SPK-0125702-001	1	C000050355	7.32	0.048	4.7	19.7	3.2	632	3.2	632																																										9.85									
SPK-0125701	COC1(CNC1)C(NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125701-001	1	C000050344	7.25	0.056	4.5	33	3.9	132	3.6	264																																										19.7									
SPK-0125700	CC#CC1=CC=C(C=C1)C(=O)N[C@@H]([C@H]1COCCN1)C(=O)NO	LpxC inhibitors	SPK-0125700-001	1	C000050337	6.96	0.11	5	9.27	3.8	148	3.2	593																															39.1	55.9										8									
SPK-0125699	OCCC#CC#CC1=CC=C(C=C1)C(=O)N[C@@H](C(=O)NO)C1(O)CNC1	LpxC inhibitors	SPK-0125699-001	1	C000050333			3.3	543	3.3	543	3.3	543																																										256									
SPK-0125698	CC#CC1=CC=C(C=C1)C(=O)N[C@H](C(=O)NO)C(C)(C)NCC[N+](C)(C)C	LpxC inhibitors	SPK-0125698-001	1	C000050303	6.28	0.53	3.6	262	3.3	524	3.3	524																																										194									
SPK-0125697	CN1C(N)=NC(C)=C1C(NC(=O)C1=CC=C(I)C=C1)C(=O)NO	LpxC inhibitors	SPK-0125697-001	1	C000050298	4.3	50	3.3	471	3.3	471	3.3	471																																										256									
SPK-0125696	NC1CC(F)(C1)C(NC(=O)C1=CC=C(C=C1)C#CC#CCCO)C(=O)NO	LpxC inhibitors	SPK-0125696-001	1	C000050296	6.72	0.19	4.7	19.5	3.5	312	3.2	625																																										26									
SPK-0125695	CC(C)(NCC(F)F)[C@H](NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]1C[C@H]1CO)C(=O)NO	LpxC inhibitors	SPK-0125695-001	1	C000050294	8.66	0.0022	5.4	3.65	6.6	0.228	6.3	0.457															5.7	1.83															4.73	6.19						1	2	0.25	4	2.73									
